x1 = .1552
x2 = .2776
h  = .0002

  X   |   f
.2128 | 5.7349
.2130 | 5.7305
.2132 | 5.7262
.2134 | 5.7218
.2136 | 5.7174
.2138 | 5.7131
.2140 | 5.7088
.2142 | 5.7044
.2144 | 5.7001
.2146 | 5.6958
.2148 | 5.6915
.2150 | 5.6872
.2152 | 5.6829
.2154 | 5.6786
.2156 | 5.6743
.2158 | 5.6701
.2160 | 5.6658
.2162 | 5.6616
.2164 | 5.6573
.2166 | 5.6531
.2168 | 5.6489
.2170 | 5.6447
.2172 | 5.6405
.2174 | 5.6363
.2176 | 5.6321
.2178 | 5.6279
.2180 | 5.6237
.2182 | 5.6195
.2184 | 5.6154
.2186 | 5.6112
.2188 | 5.6071
.2190 | 5.6029
.2192 | 5.5988
.2194 | 5.5947
.2196 | 5.5905
.2198 | 5.5864
.2200 | 5.5823
.2202 | 5.5782
.2204 | 5.5741
.2206 | 5.5701
.2208 | 5.5660
.2210 | 5.5619
.2212 | 5.5579
.2214 | 5.5538
.2216 | 5.5498
.2218 | 5.5457
.2220 | 5.5417
.2222 | 5.5377
.2224 | 5.5337
.2226 | 5.5297
.2228 | 5.5257
.2230 | 5.5217
.2232 | 5.5177
.2234 | 5.5137
.2236 | 5.5098
.2238 | 5.5058
.2240 | 5.5018
.2242 | 5.4979
.2244 | 5.4939
.2246 | 5.4900
.2248 | 5.4861
.2250 | 5.4822
.2252 | 5.4783
.2254 | 5.4743
.2256 | 5.4704
.2258 | 5.4666
.2260 | 5.4627
.2262 | 5.4588
.2264 | 5.4549
.2266 | 5.4511
.2268 | 5.4472
.2270 | 5.4433
.2272 | 5.4395
.2274 | 5.4357
.2276 | 5.4318
.2278 | 5.4280
.2280 | 5.4242
.2282 | 5.4204
.2284 | 5.4166
.2286 | 5.4128
.2288 | 5.4090
.2290 | 5.4052
.2292 | 5.4014
.2294 | 5.3977
.2296 | 5.3939
.2298 | 5.3901
.2300 | 5.3864
.2302 | 5.3827
.2304 | 5.3789
.2306 | 5.3752
.2308 | 5.3715
.2310 | 5.3677
.2312 | 5.3640
.2314 | 5.3603
.2316 | 5.3566
.2318 | 5.3529
.2320 | 5.3493
.2322 | 5.3456
.2324 | 5.3419
.2326 | 5.3382
.2328 | 5.3346
.2330 | 5.3309
.2332 | 5.3273
.2334 | 5.3236
.2336 | 5.3200
.2338 | 5.3164
.2340 | 5.3128
.2342 | 5.3091
.2344 | 5.3055
.2346 | 5.3019
.2348 | 5.2983
.2350 | 5.2947
.2352 | 5.2912
.2354 | 5.2876
.2356 | 5.2840
.2358 | 5.2804
.2360 | 5.2769
.2362 | 5.2733
.2364 | 5.2698
.2366 | 5.2662
.2368 | 5.2627
.2370 | 5.2592
.2372 | 5.2556
.2374 | 5.2521
.2376 | 5.2486
.2378 | 5.2451
.2380 | 5.2416
.2382 | 5.2381
.2384 | 5.2346
.2386 | 5.2311
.2388 | 5.2277
.2390 | 5.2242
.2392 | 5.2207
.2394 | 5.2173
.2396 | 5.2138
.2398 | 5.2104
.2400 | 5.2069
.2402 | 5.2035
.2404 | 5.2001
.2406 | 5.1966
.2408 | 5.1932
.2410 | 5.1898
.2412 | 5.1864
.2414 | 5.1830
.2416 | 5.1796
.2418 | 5.1762
.2420 | 5.1728
.2422 | 5.1695
.2424 | 5.1661
.2426 | 5.1627
.2428 | 5.1594
.2430 | 5.1560
.2432 | 5.1527
.2434 | 5.1493
.2436 | 5.1460
.2438 | 5.1426
.2440 | 5.1393
.2442 | 5.1360
.2444 | 5.1327
.2446 | 5.1294
.2448 | 5.1261
.2450 | 5.1228
.2452 | 5.1195
.2454 | 5.1162
.2456 | 5.1129
.2458 | 5.1096
.2460 | 5.1063
.2462 | 5.1031
.2464 | 5.0998
.2466 | 5.0965
.2468 | 5.0933
.2470 | 5.0900
.2472 | 5.0868
.2474 | 5.0836
.2476 | 5.0803
.2478 | 5.0771
.2480 | 5.0739
.2482 | 5.0707
.2484 | 5.0675
.2486 | 5.0643
.2488 | 5.0611
.2490 | 5.0579
.2492 | 5.0547
.2494 | 5.0515
.2496 | 5.0483
.2498 | 5.0451
.2500 | 5.0420
.2502 | 5.0388
.2504 | 5.0357
.2506 | 5.0325
.2508 | 5.0293
.2510 | 5.0262
.2512 | 5.0231
.2514 | 5.0199
.2516 | 5.0168
.2518 | 5.0137
.2520 | 5.0106
.2522 | 5.0075
.2524 | 5.0043
.2526 | 5.0012
.2528 | 4.9981
.2530 | 4.9951
.2532 | 4.9920
.2534 | 4.9889
.2536 | 4.9858
.2538 | 4.9827
.2540 | 4.9797
.2542 | 4.9766
.2544 | 4.9735
.2546 | 4.9705
.2548 | 4.9674
.2550 | 4.9644
.2552 | 4.9614
